Tissue	-Log10PValue	#Samples	Tissue-Specific Genes	Fold-change
E14.5-Brain	2.34663564155851	2	47	1.68028492904818
Cerebellum	2.34663564155851	2	45	1.67384453781513
E14.5-Limb	1.21440823719975	2	24	1.6631441617743
E14.5-Heart	0.792112310658338	2	18	1.5389939637827
Heart	0.792112310658338	2	15	1.6144883485309
Bone Marrow	0.771015754282871	2	20	1.45924908424908
Cortex	0.621081045549537	2	38	1.2428776683087
Spleen	0.617439068483416	2	18	1.36585714285714
Olfactory bulb	0.495702255428347	2	31	1.20015792031098
E14.5-Liver	0.0113516935568091	2	9	0.979109062980031
Intestine	2.78338016290597e-06	2	22	0.81532647246933
Kidney	2.78338016290597e-06	2	16	0.769632480567504
Liver	2.78338016290597e-06	2	17	0.834936045615657
Lung	2.78338016290597e-06	2	10	0.705869324473976
E14.5-Placenta	2.78338016290597e-06	2	4	0.214126144284874
Testis	2.78338016290597e-06	2	48	0.81665598975016
Thymus	2.78338016290597e-06	2	8	0.882978354978355
